FID,TITLE,VISIBLE,DESCRIPTIO,IMAGE_URL,IMAGE_LINK,DATE,TYPEID,x,y
1,coco solo naval station,1, , , ,12/30/1899 12:00:00 AM,1,-79.8809136354522,9.39424654456993
2,colon,1, , , ,12/30/1899 12:00:00 AM,1,-79.9042595022135,9.3481777783441
3,fort espinar,1, , , ,12/30/1899 12:00:00 AM,1,-79.8795402910458,9.300747714913
4,gatun locks,1, , , ,12/30/1899 12:00:00 AM,1,-79.9248589496567,9.27228653476446
5,madden dam,1, , , ,12/30/1899 12:00:00 AM,1,-79.6447075603738,9.19637896514283
6,gamboa,1, , , ,12/30/1899 12:00:00 AM,1,-79.7202385382833,9.09740347786122
7,el renacer prison,1, , , ,12/30/1899 12:00:00 AM,1,-79.7023857796528,9.08113090013915
8,cerro tigre,1, , , ,12/30/1899 12:00:00 AM,1,-79.6502006685047,9.02959627715384
9,pedro miguel locks,1, , , ,12/30/1899 12:00:00 AM,1,-79.6392143624114,8.98890582851071
10,miraflores locks,1, , , ,12/30/1899 12:00:00 AM,1,-79.6227348583558,8.96855879981237
11,farfan naval base,1, , , ,12/30/1899 12:00:00 AM,1,-79.6337212542806,8.917008137986
12,fort amador,1, , , ,12/30/1899 12:00:00 AM,1,-79.5884025956697,8.91565147818778
13,la comandancia,1, , , ,12/30/1899 12:00:00 AM,1,-79.5732964360204,8.90208424816473
14,balboa,1, , , ,12/30/1899 12:00:00 AM,1,-79.5911491946509,8.91022461111367
15,paitilla,1, , , ,12/30/1899 12:00:00 AM,1,-79.5417106824839,8.94956734678124
16,Paitilla,1, , , ,12/30/1899 12:00:00 AM,1,-79.5238579238535,8.96448929263394
17,Tinajitas,1, , , ,12/30/1899 12:00:00 AM,1,-79.5334709753719,9.04315874064021
18,Torrijos,1, , , ,12/30/1899 12:00:00 AM,1,-79.4112480842767,9.0458711897922
19,Fort Cimarron,1, , , ,12/30/1899 12:00:00 AM,1,-79.2931450467375,9.10011551702102
20,Pacora River Bridge,1, , , ,12/30/1899 12:00:00 AM,1,-79.3219841114612,9.08113090013915
21,Tocumen,1, , , ,12/30/1899 12:00:00 AM,1,-79.4222343903699,9.0580768248358
